B106;INSERT;--Greenfields Susu Pasteurisasi Fresh Milk (Pasteurised Fresh Milk);D111;50
B106;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;120
B106;INSERT;--HT FRUIT SYRUP VALENCIA ORANGE;D153;20
B106;INSERT;--POWDER MACCHIATO CHEESE;D162;10
B106;INSERT;--HT DARK CHOCOLATE POWDER;D148;5
B107;INSERT;--ESPRESSO CAIR;D143;15
B107;INSERT;--Greenfields Susu Pasteurisasi Fresh Milk (Pasteurised Fresh Milk);D111;30
B107;INSERT;--BEJO;D197;1
B108;INSERT;--ESPRESSO CAIR;D143;18
B108;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;50
B108;INSERT;--HT FRUIT SYRUP VALENCIA ORANGE;D153;10
B109;INSERT;--HT FRUIT SYRUP VALENCIA ORANGE;D153;10
B110;INSERT;--Greenfields Susu Pasteurisasi Fresh Milk (Pasteurised Fresh Milk);D111;150
B111;INSERT;--Greenfields Susu Pasteurisasi Fresh Milk (Pasteurised Fresh Milk);D111;150
B111;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;120
B111;INSERT;--HT GREEN TEA CREME POWDER;D147;30
B112;INSERT;--ESPRESSO CAIR;D143;30
B112;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;100
B112;INSERT;--LYCHEE POWDER;D165;20
B112;INSERT;--MOSA SODA CHARGER;D141;120
B112;INSERT;--LYCHEE IN SYRUP IKPS;D173;1
B113;INSERT;--Greenfields Susu Pasteurisasi Fresh Milk (Pasteurised Fresh Milk);D111;120
B113;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;100
B113;INSERT;--HT DARK CHOCOLATE POWDER;D148;30
B114;INSERT;--Greenfields Susu Pasteurisasi Fresh Milk (Pasteurised Fresh Milk);D111;120
B114;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;100
B114;INSERT;--HT Cookies n Crème Powder;D175;30
B114;INSERT;--SIMPLE SYRUP;D181;10
B115;INSERT;--ESPRESSO CAIR;D143;30
B115;INSERT;--Greenfields Susu Pasteurisasi Fresh Milk (Pasteurised Fresh Milk);D111;120
B115;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;100
B115;INSERT;--SIMPLE SYRUP;D181;30
B116;INSERT;--Greenfields Susu Pasteurisasi Fresh Milk (Pasteurised Fresh Milk);D111;120
B116;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;100
B116;INSERT;--HT RED VELVET POWDER;D150;10
B116;INSERT;--HT YOGHURT POWDER;D151;20
B117;INSERT;--Greenfields Susu Pasteurisasi Fresh Milk (Pasteurised Fresh Milk);D111;150
B117;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;100
B117;INSERT;--HT YOGHURT POWDER;D151;20
B117;INSERT;--HT FRUIT SQUASH KIWI DELIGHT;D155;20
B118;INSERT;--[MENU NO INGREDIENTS];Z000;1
B119;INSERT;--HT CARAMEL SYRUP;D310;30
B119;INSERT;--Greenfields Susu Pasteurisasi Fresh Milk (Pasteurised Fresh Milk);D111;150
B119;INSERT;--HT MACCHIATO CREME POWDER;D163;30
B119;INSERT;--ESPRESSO CAIR;D143;30
B120;INSERT;--WEDANG UWUH;D365;1
